year,team,경기,승,패,무,타율,평균자책점,승률
2001,두산 베어스,133,65,63,5,0.276,4.96,0.508
2001,삼성 라이온즈,133,81,52,0,0.277,4.39,0.609
2001,현대 유니콘스,133,72,57,4,0.268,4.34,0.558
2001,한화 이글스,133,61,68,4,0.275,4.82,0.473
2001,KIA 타이거즈,133,60,68,5,0.278,5.01,0.469
2001,LG 트윈스,133,58,67,8,0.276,5.09,0.464
2001,SK 와이번스,133,60,71,2,0.26,4.38,0.458
2001,롯데 자이언츠,133,59,70,4,0.28,4.68,0.457
2002,삼성 라이온즈,133,82,47,4,0.284,3.92,0.636
2002,LG 트윈스,133,66,61,6,0.261,3.93,0.52
2002,KIA 타이거즈,133,78,51,4,0.269,3.92,0.605
2002,현대 유니콘스,133,70,58,5,0.261,4.23,0.547
2002,두산 베어스,133,66,65,2,0.261,3.93,0.504
2002,SK 와이번스,133,61,69,3,0.27,4.47,0.469
2002,한화 이글스,133,59,69,5,0.256,4.79,0.461
2002,롯데 자이언츠,133,35,97,1,0.245,4.72,0.265
2003,현대 유니콘스,133,80,51,2,0.286,4.13,0.611
2003,SK 와이번스,133,66,64,3,0.272,4.44,0.508
2003,KIA 타이거즈,133,78,50,5,0.272,3.62,0.609
2003,삼성 라이온즈,133,76,53,4,0.284,4.37,0.589
2003,한화 이글스,133,63,65,5,0.254,4.37,0.492
2003,LG 트윈스,133,60,71,2,0.249,3.98,0.458
2003,두산 베어스,133,57,74,2,0.276,4.24,0.435
2003,롯데 자이언츠,133,39,91,3,0.256,5.01,0.3
2004,현대 유니콘스,133,75,53,5,0.275,4.06,0.586
2004,삼성 라이온즈,133,73,52,8,0.269,3.76,0.584
2004,두산 베어스,133,70,62,1,0.268,3.88,0.53
2004,KIA 타이거즈,133,67,61,5,0.267,4.51,0.523
2004,SK 와이번스,133,61,64,8,0.272,4.4,0.488
2004,LG 트윈스,133,59,70,4,0.259,4.31,0.457
2004,한화 이글스,133,53,74,6,0.268,5.21,0.417
2004,롯데 자이언츠,133,50,72,11,0.252,4.22,0.41
2005,삼성 라이온즈,126,74,48,4,0.268,3.83,0.607
2005,두산 베어스,126,72,51,3,0.27,3.42,0.585
2005,SK 와이번스,126,70,50,6,0.269,3.41,0.583
2005,한화 이글스,126,64,61,1,0.27,4.41,0.512
2005,롯데 자이언츠,126,58,67,1,0.253,4.3,0.464
2005,LG 트윈스,126,54,71,1,0.26,4.9,0.432
2005,현대 유니콘스,126,53,70,3,0.256,4.68,0.431
2005,KIA 타이거즈,126,49,76,1,0.26,4.81,0.392
2006,삼성 라이온즈,126,73,50,3,0.255,3.33,0.593
2006,한화 이글스,126,67,57,2,0.253,3.35,0.54
2006,현대 유니콘스,126,70,55,1,0.27,3.41,0.56
2006,KIA 타이거즈,126,64,59,3,0.255,3.33,0.52
2006,두산 베어스,126,63,60,3,0.258,3.36,0.512
2006,SK 와이번스,126,60,65,1,0.254,3.8,0.48
2006,롯데 자이언츠,126,50,73,3,0.25,3.86,0.407
2006,LG 트윈스,126,47,75,4,0.246,4.22,0.385
2007,SK 와이번스,126,73,48,5,0.264,3.24,0.603
2007,두산 베어스,126,70,54,2,0.263,3.44,0.565
2007,한화 이글스,126,67,57,2,0.254,3.54,0.54
2007,삼성 라이온즈,126,62,60,4,0.254,3.71,0.508
2007,LG 트윈스,126,58,62,6,0.268,4.33,0.483
2007,현대 유니콘스,126,56,69,1,0.271,4.41,0.448
2007,롯데 자이언츠,126,55,68,3,0.27,4.12,0.447
2007,KIA 타이거즈,126,51,74,1,0.257,4.49,0.408
2008,SK 와이번스,126,83,43,0,0.282,3.22,0.659
2008,두산 베어스,126,70,56,0,0.276,3.89,0.556
2008,롯데 자이언츠,126,69,57,0,0.282,3.64,0.548
2008,삼성 라이온즈,126,65,61,0,0.258,4.4,0.516
2008,한화 이글스,126,64,62,0,0.254,4.43,0.508
2008,KIA 타이거즈,126,57,69,0,0.26,4.08,0.452
2008,우리 히어로즈,126,50,76,0,0.266,4.43,0.397
2008,LG 트윈스,126,46,80,0,0.256,4.85,0.365
2009,KIA 타이거즈,133,81,48,4,0.267,3.92,0.609
2009,SK 와이번스,133,80,47,6,0.285,3.67,0.602
2009,두산 베어스,133,71,60,2,0.28,4.6,0.534
2009,롯데 자이언츠,133,66,67,0,0.277,4.75,0.496
2009,삼성 라이온즈,133,64,69,0,0.275,4.98,0.481
2009,히어로즈,133,60,72,1,0.272,5.4,0.451
2009,LG 트윈스,133,54,75,4,0.278,5.42,0.406
2009,한화 이글스,133,46,84,3,0.269,5.7,0.346
2010,SK 와이번스,133,84,47,2,0.274,3.71,0.632
2010,삼성 라이온즈,133,79,52,2,0.272,3.94,0.594
2010,두산 베어스,133,73,57,3,0.281,4.62,0.549
2010,롯데 자이언츠,133,69,61,3,0.288,4.82,0.519
2010,KIA 타이거즈,133,59,74,0,0.26,4.39,0.444
2010,LG 트윈스,133,57,71,5,0.276,5.23,0.429
2010,넥센 히어로즈,133,52,78,3,0.262,4.55,0.391
2010,한화 이글스,133,49,82,2,0.244,5.43,0.368
2011,삼성 라이온즈,133,79,50,4,0.259,3.35,0.612
2011,SK 와이번스,133,71,59,3,0.263,3.59,0.546
2011,롯데 자이언츠,133,72,56,5,0.288,4.2,0.563
2011,KIA 타이거즈,133,70,63,0,0.269,4.1,0.526
2011,두산 베어스,133,61,70,2,0.271,4.26,0.466
2011,LG 트윈스,133,59,72,2,0.266,4.15,0.45
2011,한화 이글스,133,59,72,2,0.255,5.11,0.45
2011,넥센 히어로즈,133,51,80,2,0.245,4.36,0.389
2012,삼성 라이온즈,133,80,51,2,0.272,3.39,0.611
2012,SK 와이번스,133,71,59,3,0.258,3.82,0.546
2012,두산 베어스,133,68,62,3,0.26,3.58,0.523
2012,롯데 자이언츠,133,65,62,6,0.263,3.48,0.512
2012,KIA 타이거즈,133,62,65,6,0.256,3.9,0.488
2012,넥센 히어로즈,133,61,69,3,0.243,3.83,0.469
2012,LG 트윈스,133,57,72,4,0.261,4.02,0.442
2012,한화 이글스,133,53,77,3,0.249,4.55,0.408
2013,삼성 라이온즈,128,75,51,2,0.283,3.98,0.595
2013,두산 베어스,128,71,54,3,0.289,4.57,0.568
2013,LG 트윈스,128,74,54,0,0.282,3.72,0.578
2013,넥센 히어로즈,128,72,54,2,0.272,4.12,0.571
2013,롯데 자이언츠,128,66,58,4,0.261,3.93,0.532
2013,SK 와이번스,128,62,63,3,0.265,4.16,0.496
2013,NC 다이노스,128,52,72,4,0.244,3.96,0.419
2013,KIA 타이거즈,128,51,74,3,0.261,5.12,0.408
2013,한화 이글스,128,42,85,1,0.259,5.31,0.331
2014,삼성 라이온즈,128,78,47,3,0.301,4.52,0.624
2014,넥센 히어로즈,128,78,48,2,0.298,5.25,0.619
2014,NC 다이노스,128,70,57,1,0.282,4.29,0.551
2014,LG 트윈스,128,62,64,2,0.279,4.58,0.492
2014,SK 와이번스,128,61,65,2,0.291,5.51,0.484
2014,두산 베어스,128,59,68,1,0.293,5.43,0.465
2014,롯데 자이언츠,128,58,69,1,0.287,5.19,0.457
2014,KIA 타이거즈,128,54,74,0,0.288,5.82,0.422
2014,한화 이글스,128,49,77,2,0.283,6.35,0.389
2015,두산 베어스,144,79,65,0,0.29,5.02,0.549
2015,삼성 라이온즈,144,88,56,0,0.302,4.69,0.611
2015,NC 다이노스,144,84,57,3,0.289,4.26,0.596
2015,넥센 히어로즈,144,78,65,1,0.298,4.91,0.545
2015,SK 와이번스,144,69,73,2,0.272,4.71,0.486
2015,한화 이글스,144,68,76,0,0.271,5.11,0.472
2015,KIA 타이거즈,144,67,77,0,0.251,4.79,0.465
2015,롯데 자이언츠,144,66,77,1,0.28,5.07,0.462
2015,LG 트윈스,144,64,78,2,0.269,4.62,0.451
2015,KT 위즈,144,52,91,1,0.273,5.56,0.364
2016,두산 베어스,144,93,50,1,0.298,4.45,0.65
2016,NC 다이노스,144,83,58,3,0.291,4.48,0.589
2016,넥센 히어로즈,144,77,66,1,0.293,4.96,0.538
2016,LG 트윈스,144,71,71,2,0.29,5.04,0.5
2016,KIA 타이거즈,144,70,73,1,0.286,4.97,0.49
2016,SK 와이번스,144,69,75,0,0.291,4.87,0.479
2016,한화 이글스,144,66,75,3,0.289,5.76,0.468
2016,롯데 자이언츠,144,66,78,0,0.288,5.63,0.458
2016,삼성 라이온즈,144,65,78,1,0.293,5.64,0.455
2016,KT 위즈,144,53,89,2,0.276,5.92,0.373
2017,KIA 타이거즈,144,87,56,1,0.302,4.79,0.608
2017,두산 베어스,144,84,57,3,0.294,4.38,0.596
2017,롯데 자이언츠,144,80,62,2,0.285,4.56,0.563
2017,NC 다이노스,144,79,62,3,0.293,4.71,0.56
2017,SK 와이번스,144,75,68,1,0.271,5.02,0.524
2017,LG 트윈스,144,69,72,3,0.281,4.3,0.489
2017,넥센 히어로즈,144,69,73,2,0.29,5.03,0.486
2017,한화 이글스,144,61,81,2,0.287,5.28,0.43
2017,삼성 라이온즈,144,55,84,5,0.279,5.88,0.396
2017,KT 위즈,144,50,94,0,0.275,5.75,0.347
2018,SK 와이번스,144,78,65,1,0.281,4.67,0.545
2018,두산 베어스,144,93,51,0,0.309,4.98,0.646
2018,한화 이글스,144,77,67,0,0.275,4.93,0.535
2018,넥센 히어로즈,144,75,69,0,0.288,5.08,0.521
2018,KIA 타이거즈,144,70,74,0,0.295,5.4,0.486
2018,삼성 라이온즈,144,68,72,4,0.288,5.19,0.486
2018,롯데 자이언츠,144,68,74,2,0.289,5.37,0.479
2018,LG 트윈스,144,68,75,1,0.293,5.29,0.476
2018,KT 위즈,144,59,82,3,0.275,5.34,0.418
2018,NC 다이노스,144,58,85,1,0.261,5.48,0.406
2019,두산 베어스,144,88,55,1,0.278,3.51,0.615
2019,키움 히어로즈,144,86,57,1,0.282,3.61,0.601
2019,SK 와이번스,144,88,55,1,0.262,3.48,0.615
2019,LG 트윈스,144,79,64,1,0.267,3.86,0.552
2019,NC 다이노스,144,73,69,2,0.278,4.01,0.514
2019,KT 위즈,144,71,71,2,0.277,4.29,0.5
2019,KIA 타이거즈,144,62,80,2,0.264,4.65,0.437
2019,삼성 라이온즈,144,60,83,1,0.256,4.64,0.42
2019,한화 이글스,144,58,86,0,0.256,4.8,0.403
2019,롯데 자이언츠,144,48,93,3,0.25,4.83,0.34
2020,NC 다이노스,144,83,55,6,0.291,4.58,0.601
2020,두산 베어스,144,79,61,4,0.293,4.31,0.564
2020,KT 위즈,144,81,62,1,0.284,4.54,0.566
2020,LG 트윈스,144,79,61,4,0.277,4.37,0.564
2020,키움 히어로즈,144,80,63,1,0.269,4.39,0.559
2020,KIA 타이거즈,144,73,71,0,0.274,5.13,0.507
2020,롯데 자이언츠,144,71,72,1,0.276,4.64,0.497
2020,삼성 라이온즈,144,64,75,5,0.268,4.78,0.46
2020,SK 와이번스,144,51,92,1,0.25,5.57,0.357
2020,한화 이글스,144,46,95,3,0.245,5.28,0.326
2021,KT 위즈,144,76,59,9,0.265,3.67,0.563
2021,두산 베어스,144,71,65,8,0.268,4.26,0.522
2021,삼성 라이온즈,144,76,59,9,0.267,4.3,0.563
2021,LG 트윈스,144,72,58,14,0.25,3.57,0.554
2021,키움 히어로즈,144,70,67,7,0.259,4.31,0.511
2021,SSG 랜더스,144,66,64,14,0.261,4.82,0.508
2021,NC 다이노스,144,67,68,9,0.261,4.54,0.496
2021,롯데 자이언츠,144,65,71,8,0.278,5.37,0.478
2021,KIA 타이거즈,144,58,76,10,0.248,4.89,0.433
2021,한화 이글스,144,49,83,12,0.237,4.65,0.371
2022,SSG 랜더스,144,88,52,4,0.254,3.87,0.629
2022,키움 히어로즈,144,80,62,2,0.252,3.79,0.563
2022,LG 트윈스,144,87,55,2,0.269,3.33,0.613
2022,KT 위즈,144,80,62,2,0.254,3.51,0.563
2022,KIA 타이거즈,144,70,73,1,0.272,4.2,0.49
2022,NC 다이노스,144,67,74,3,0.257,3.9,0.475
2022,삼성 라이온즈,144,66,76,2,0.27,4.29,0.465
2022,롯데 자이언츠,144,64,76,4,0.267,4.45,0.457
2022,두산 베어스,144,60,82,2,0.255,4.45,0.423
2022,한화 이글스,144,46,96,2,0.245,4.83,0.324
2023,LG 트윈스,144,86,56,2,0.279,3.67,0.606
2023,KT 위즈,144,79,62,3,0.265,3.94,0.56
2023,SSG 랜더스,144,76,65,3,0.26,4.37,0.539
2023,NC 다이노스,144,75,67,2,0.27,3.83,0.528
2023,두산 베어스,144,74,68,2,0.255,3.92,0.521
2023,KIA 타이거즈,144,73,69,2,0.276,4.13,0.514
2023,롯데 자이언츠,144,68,76,0,0.265,4.15,0.472
2023,삼성 라이온즈,144,61,82,1,0.263,4.6,0.427
2023,한화 이글스,144,58,80,6,0.241,4.38,0.42
2023,키움 히어로즈,144,58,83,3,0.261,4.42,0.411
2024,KIA 타이거즈,144,87,55,2,0.301,4.4,0.613
2024,삼성 라이온즈,144,78,64,2,0.269,4.68,0.549
2024,LG 트윈스,144,76,66,2,0.283,4.63,0.535
2024,두산 베어스,144,74,68,2,0.276,4.82,0.521
2024,KT 위즈,144,72,70,2,0.279,5.11,0.507
2024,SSG 랜더스,144,72,70,2,0.273,5.25,0.507
2024,롯데 자이언츠,144,66,74,4,0.285,5.05,0.471
2024,한화 이글스,144,66,76,2,0.27,4.98,0.465
2024,NC 다이노스,144,61,81,2,0.274,5,0.43
2024,키움 히어로즈,144,58,86,0,0.264,5.16,0.403
2025,LG 트윈스,144,85,56,3,0.278,3.79,0.603
2025,한화 이글스,144,83,57,4,0.266,3.55,0.593
2025,SSG 랜더스,144,75,65,4,0.256,3.63,0.536
2025,삼성 라이온즈,144,74,68,2,0.271,4.12,0.521
2025,NC 다이노스,144,71,67,6,0.26,4.82,0.514
2025,KT 위즈,144,71,68,5,0.253,4.09,0.511
2025,롯데 자이언츠,144,66,72,6,0.267,4.75,0.478
2025,KIA 타이거즈,144,65,75,4,0.258,4.66,0.464
2025,두산 베어스,144,61,77,6,0.262,4.3,0.442
2025,키움 히어로즈,144,47,93,4,0.244,5.39,0.336
