연도,순위,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
2001,1,현대,4.34,133,72,57,39,23,0.558,1183 1/3,1250,98,531,54,757,628,570,1.51,6,3,56,0,5218,20097,0.277,219,26,78,37,8,54,1
2001,2,SK,4.38,133,60,71,33,22,0.458,1171 1/3,1148,155,508,65,908,640,570,1.41,11,8,61,0,5110,19710,0.259,217,9,76,34,31,54,1
2001,3,삼성,4.39,133,81,52,43,20,0.609,1187 1/3,1195,132,561,61,844,644,579,1.48,7,6,51,0,5243,20128,0.265,207,13,76,37,20,38,8
2001,4,롯데,4.68,133,59,70,33,28,0.457,1171 2/3,1238,128,523,61,790,670,609,1.5,0,3,43,0,5189,19593,0.276,251,22,86,38,23,53,2
2001,5,한화,4.82,133,61,68,25,33,0.473,1185,1288,142,541,66,813,733,634,1.54,7,5,49,0,5331,20774,0.28,238,26,73,45,44,57,5
2001,6,두산,4.96,133,65,63,35,40,0.508,1180 1/3,1290,128,546,60,799,733,650,1.56,1,3,27,0,5282,20071,0.284,196,23,85,48,17,47,0
2001,7,KIA,5.01,133,60,68,28,16,0.469,1178 2/3,1231,160,499,79,743,727,656,1.47,10,6,35,0,5207,19799,0.272,212,16,71,36,17,51,3
2001,8,LG,5.09,133,58,67,26,27,0.464,1184 2/3,1253,127,647,69,765,732,670,1.6,0,3,43,0,5380,21119,0.277,204,23,99,46,43,52,6
2002,1,삼성,3.92,133,82,47,37,22,0.636,1197 2/3,1182,148,385,74,987,581,521,1.31,2,8,45,0,5089,19535,0.262,214,22,80,33,16,45,3
2002,2,KIA,3.92,133,78,51,38,30,0.605,1195,1185,151,370,97,862,580,520,1.3,10,7,55,0,5106,19112,0.26,159,12,54,34,14,55,2
2002,3,LG,3.93,133,66,61,32,40,0.52,1190 2/3,1119,135,501,100,896,575,520,1.36,2,9,38,0,5145,20432,0.252,185,19,74,26,30,40,5
2002,4,두산,3.93,133,66,65,38,43,0.504,1183,1139,99,479,60,954,562,517,1.37,3,6,60,0,5087,19237,0.257,187,23,77,33,30,44,2
2002,5,현대,4.23,133,70,58,38,36,0.547,1186 1/3,1219,142,416,64,890,614,558,1.38,3,6,49,0,5131,19927,0.268,230,10,64,32,12,54,5
2002,6,SK,4.47,133,61,69,25,15,0.469,1179,1150,176,402,78,948,638,586,1.32,5,7,54,0,5074,19578,0.255,209,15,55,23,34,34,3
2002,7,롯데,4.72,133,35,97,13,19,0.265,1168,1269,130,443,83,775,710,612,1.47,5,7,49,0,5156,19635,0.281,266,28,70,45,16,40,1
2002,8,한화,4.79,133,59,69,32,32,0.461,1184 2/3,1254,146,392,102,953,672,631,1.39,8,5,54,0,5198,20061,0.272,229,25,62,38,29,42,4
2003,1,KIA,3.62,133,78,50,36,34,0.609,1178,1092,137,414,101,820,527,474,1.28,12,10,65,0,4999,19162,0.25,178,10,88,30,12,42,1
2003,2,LG,3.98,133,60,71,37,51,0.458,1169 2/3,1201,120,531,60,794,579,517,1.48,2,10,48,0,5166,20403,0.271,185,23,116,34,27,49,2
2003,3,현대,4.13,133,80,51,39,43,0.611,1190,1245,120,457,62,840,627,546,1.43,2,4,58,0,5197,20181,0.273,229,17,92,33,6,56,2
2003,4,두산,4.24,133,57,74,30,53,0.435,1175 2/3,1194,105,464,79,654,619,554,1.41,7,7,52,0,5144,19144,0.268,208,18,105,43,22,37,3
2003,5,삼성,4.37,133,76,53,30,41,0.589,1183,1199,133,494,59,808,613,574,1.43,2,5,45,0,5150,19834,0.268,222,24,95,29,15,46,3
2003,6,한화,4.37,133,63,65,35,31,0.492,1192,1184,142,437,68,772,617,579,1.36,4,8,54,0,5165,19888,0.261,222,14,82,45,14,53,9
2003,7,SK,4.44,133,66,64,43,48,0.508,1181 1/3,1190,135,497,83,759,642,583,1.43,3,10,44,0,5158,19830,0.267,212,21,84,32,19,42,2
2003,8,롯데,5.01,133,39,91,22,58,0.3,1164 1/3,1302,171,435,93,647,709,648,1.49,3,4,44,0,5173,19413,0.289,259,22,93,40,16,36,3
2004,1,삼성,3.76,133,73,52,42,74,0.584,1196 1/3,1092,118,505,85,994,564,500,1.33,4,9,52,0,5138,20237,0.247,181,13,87,34,17,43,6
2004,2,두산,3.88,133,70,62,38,47,0.53,1177 2/3,1144,95,457,75,799,560,508,1.36,4,12,54,0,5056,19198,0.26,177,15,84,40,18,49,3
2004,3,현대,4.06,133,75,53,36,32,0.586,1187,1193,123,440,59,842,590,535,1.38,3,8,70,0,5135,20159,0.263,232,16,69,25,0,41,4
2004,4,롯데,4.22,133,50,72,29,46,0.41,1190 1/3,1216,109,449,76,753,608,558,1.4,4,8,49,0,5160,19578,0.272,220,13,105,53,41,43,3
2004,5,LG,4.31,133,59,70,35,64,0.457,1164 1/3,1235,116,543,64,783,637,557,1.53,3,6,46,0,5180,20349,0.277,207,17,76,42,31,55,1
2004,6,SK,4.4,133,61,64,29,49,0.488,1186 1/3,1173,116,538,110,891,644,580,1.44,3,6,39,0,5216,20469,0.263,208,13,79,25,18,57,8
2004,7,KIA,4.51,133,67,61,27,24,0.523,1183,1198,119,496,120,773,637,593,1.43,5,9,49,0,5199,19717,0.268,213,22,77,39,13,48,1
2004,8,한화,5.21,133,53,74,37,36,0.417,1180 2/3,1290,170,455,92,699,750,683,1.48,3,0,48,0,5267,19697,0.282,215,12,95,44,18,47,2
2005,1,SK,3.41,126,70,50,27,50,0.583,1137,1005,103,422,99,843,485,431,1.26,2,10,50,0,4822,18822,0.24,160,11,88,23,14,31,1
2005,2,두산,3.42,126,72,51,33,51,0.585,1125,1038,90,440,77,818,465,427,1.31,2,14,55,0,4774,18006,0.251,148,6,82,33,13,56,2
2005,3,삼성,3.83,126,74,48,37,62,0.607,1129 1/3,1026,109,387,79,875,528,480,1.25,2,7,40,0,4791,18580,0.244,197,21,93,23,11,49,5
2005,4,롯데,4.3,126,58,67,33,24,0.464,1120 1/3,1097,91,408,89,817,573,535,1.34,2,6,58,0,4845,18373,0.26,191,17,98,26,41,44,1
2005,5,한화,4.41,126,64,61,36,43,0.512,1111,1193,111,389,88,662,603,545,1.42,2,6,55,0,4870,18413,0.279,187,16,79,45,9,35,2
2005,6,현대,4.68,126,53,70,28,22,0.431,1115 2/3,1175,125,422,80,803,647,580,1.43,2,9,47,0,4930,18926,0.273,205,21,85,33,2,43,3
2005,7,KIA,4.81,126,49,76,24,26,0.392,1105,1166,138,510,119,786,659,591,1.52,8,5,41,0,4975,19287,0.276,200,7,91,33,16,59,3
2005,8,LG,4.9,126,54,71,31,59,0.432,1102 1/3,1212,109,480,80,781,666,600,1.53,3,7,50,0,4969,19542,0.283,200,18,88,40,27,48,5
2006,1,KIA,3.33,126,64,59,35,29,0.52,1118 1/3,998,73,442,78,735,451,414,1.29,2,9,49,8,4725,18216,0.243,172,7,81,23,17,44,2
2006,2,삼성,3.33,126,73,50,49,65,0.593,1118,1030,100,365,63,781,471,414,1.25,1,15,56,9,4699,18038,0.249,185,10,98,28,9,21,7
2006,3,한화,3.35,126,67,57,41,47,0.54,1121 1/3,1077,94,373,49,760,475,418,1.29,11,14,56,10,4731,17764,0.257,166,11,94,18,17,37,2
2006,4,두산,3.36,126,63,60,39,29,0.512,1115 2/3,968,69,424,69,834,467,416,1.25,7,10,67,8,4690,17927,0.24,158,18,117,47,13,55,1
2006,5,현대,3.41,126,70,55,41,45,0.56,1114 2/3,1053,69,394,71,816,467,422,1.3,2,15,67,8,4771,18458,0.251,172,18,82,23,0,39,0
2006,6,SK,3.8,126,60,65,33,52,0.48,1124,1071,85,446,83,701,535,475,1.35,0,6,47,11,4819,18300,0.259,172,11,119,33,24,26,2
2006,7,롯데,3.86,126,50,73,28,34,0.407,1118 2/3,1128,83,410,60,637,541,480,1.37,5,9,64,18,4822,18088,0.268,210,12,100,38,30,30,1
2006,8,LG,4.22,126,47,75,29,53,0.385,1110,1144,87,439,60,625,574,521,1.43,3,10,51,12,4834,18397,0.273,188,22,115,33,23,41,3
2007,1,SK,3.24,126,73,48,36,77,0.603,1139 1/3,1079,77,445,67,650,465,410,1.34,1,10,58,9,4852,18425,0.256,141,7,94,32,27,28,1
2007,2,두산,3.44,126,70,54,30,42,0.565,1131 1/3,1067,74,399,75,721,480,432,1.3,6,14,57,11,4814,18464,0.252,187,17,79,34,24,43,4
2007,3,한화,3.54,126,67,57,39,36,0.54,1119,1084,84,451,53,741,481,440,1.37,9,5,66,12,4781,18314,0.261,182,6,82,36,24,38,4
2007,4,삼성,3.71,126,62,60,41,51,0.508,1131 2/3,1091,90,400,58,719,509,466,1.32,0,11,42,6,4824,18606,0.258,187,20,94,46,7,35,5
2007,5,롯데,4.12,126,55,68,22,24,0.447,1120 2/3,1164,93,414,69,704,554,513,1.41,2,9,59,12,4871,18425,0.274,184,19,95,43,40,46,4
2007,6,LG,4.33,126,58,62,34,58,0.483,1135 2/3,1181,63,514,52,630,600,547,1.49,2,9,58,16,5014,19341,0.275,215,27,105,55,21,48,2
2007,7,현대,4.41,126,56,69,27,46,0.448,1127,1104,119,466,48,796,615,552,1.39,1,2,44,11,4906,18861,0.259,192,21,91,32,20,32,4
2007,8,KIA,4.49,126,51,74,26,27,0.408,1109 2/3,1109,103,526,97,670,602,554,1.47,2,6,43,6,4933,18852,0.266,244,17,93,39,28,60,7
2008,1,SK,3.22,126,83,43,43,72,0.659,1151,1053,78,448,55,801,461,412,1.3,1,10,52,16,4855,18607,0.248,127,14,70,32,13,35,2
2008,2,롯데,3.64,126,69,57,27,38,0.548,1119,1134,70,409,47,671,518,453,1.38,9,5,68,11,4769,17361,0.27,196,22,78,40,32,42,2
2008,3,두산,3.89,126,70,56,26,37,0.556,1134 2/3,1115,78,379,69,780,542,490,1.32,0,8,41,14,4857,18259,0.259,192,29,66,45,13,45,5
2008,4,KIA,4.08,126,57,69,29,26,0.452,1124,1078,65,473,77,733,555,510,1.38,3,9,58,10,4850,18391,0.256,180,19,50,42,9,52,5
2008,5,삼성,4.4,126,65,61,40,48,0.516,1123 1/3,1184,87,416,43,703,596,549,1.42,0,6,27,7,4867,18532,0.275,209,18,54,41,4,49,4
2008,6,한화,4.43,126,64,62,36,39,0.508,1129 2/3,1136,95,519,49,723,595,556,1.47,3,5,44,10,4911,18991,0.269,174,16,74,46,28,37,4
2008,7,우리,4.43,126,50,76,29,36,0.397,1125 1/3,1159,91,465,70,729,609,554,1.44,4,10,57,15,4933,18768,0.269,209,29,52,39,20,46,2
2008,8,LG,4.85,126,46,80,25,40,0.365,1108 1/3,1239,82,480,72,631,646,597,1.55,1,9,42,10,4976,18608,0.288,225,41,77,39,4,46,3
2009,1,SK,3.67,133,80,47,33,34,0.63,1213,1141,130,519,54,1032,550,494,1.37,2,4,54,10,5203,20394,0.252,154,17,64,31,34,68,3
2009,2,KIA,3.92,133,81,48,38,36,0.628,1199,1178,108,441,83,893,581,522,1.35,4,10,62,14,5176,19699,0.258,214,17,52,34,22,22,2
2009,3,두산,4.6,133,71,60,32,59,0.542,1186 1/3,1221,120,515,75,862,662,607,1.46,1,6,27,15,5205,19936,0.272,222,28,73,47,7,55,3
2009,4,롯데,4.75,133,66,67,40,37,0.496,1162 1/3,1290,139,487,67,722,669,613,1.53,6,13,52,7,5165,18777,0.287,241,14,67,42,35,49,3
2009,5,삼성,4.98,133,64,69,32,45,0.481,1163 2/3,1226,141,609,56,905,700,644,1.58,3,2,45,14,5209,20355,0.278,225,24,80,51,9,67,1
2009,6,히어로즈,5.4,133,60,72,29,32,0.455,1174 1/3,1231,176,565,61,840,762,705,1.53,0,5,44,14,5221,20576,0.274,251,15,73,33,19,51,5
2009,7,LG,5.42,133,54,75,25,38,0.419,1175,1316,165,585,91,777,763,707,1.62,0,3,44,11,5339,20615,0.29,241,20,85,43,10,56,1
2009,8,한화,5.7,133,46,84,16,34,0.354,1174,1335,176,569,77,908,805,743,1.62,4,2,32,9,5346,20758,0.292,205,23,65,56,28,56,5
2010,1,SK,3.71,133,84,47,36,39,0.641,1198 1/3,1074,117,543,47,1091,545,494,1.35,2,11,53,9,5114,20297,0.243,155,17,85,22,27,80,2
2010,2,삼성,3.94,133,79,52,33,44,0.603,1193 2/3,1168,103,453,54,951,575,523,1.36,2,7,35,12,5119,19811,0.26,203,20,84,38,11,61,3
2010,3,KIA,4.39,133,59,74,25,40,0.444,1183 2/3,1227,93,468,81,885,641,577,1.43,4,7,54,26,5205,20067,0.272,232,14,102,35,19,53,4
2010,4,넥센,4.55,133,52,78,27,39,0.4,1185 2/3,1162,122,614,95,832,652,599,1.5,1,2,42,12,5231,21053,0.265,201,16,93,48,17,66,3
2010,5,두산,4.62,133,73,57,30,56,0.562,1179 2/3,1190,135,437,85,888,669,606,1.38,2,7,50,12,5131,19681,0.266,194,23,89,47,6,58,2
2010,6,롯데,4.82,133,69,61,21,37,0.531,1194,1291,149,419,78,779,710,640,1.43,7,6,63,14,5204,19218,0.282,227,20,89,37,41,49,3
2010,7,LG,5.23,133,57,71,31,59,0.445,1188,1279,125,560,104,793,746,690,1.55,3,8,34,19,5326,20443,0.284,209,14,106,52,23,74,6
2010,8,한화,5.43,133,49,82,24,28,0.374,1169 1/3,1290,146,551,72,806,763,705,1.57,6,6,46,9,5267,20322,0.286,229,14,85,41,17,65,5
2011,1,삼성,3.35,133,79,50,48,74,0.612,1196 1/3,1191,92,395,38,841,513,445,1.33,1,12,65,8,5077,19378,0.263,183,19,87,30,8,40,5
2011,2,SK,3.59,133,71,59,37,63,0.546,1192 1/3,1001,93,541,65,1006,522,476,1.29,1,9,34,15,5032,20130,0.233,149,16,99,35,24,64,3
2011,3,KIA,4.1,133,70,63,29,37,0.526,1163 2/3,1117,87,457,76,920,580,530,1.35,7,10,59,10,4991,19327,0.257,207,18,92,25,14,51,6
2011,4,LG,4.15,133,59,72,30,50,0.45,1193 2/3,1173,80,512,71,827,620,550,1.41,2,11,57,15,5209,19771,0.261,206,28,98,34,20,52,6
2011,5,롯데,4.2,133,72,56,27,45,0.563,1187,1256,113,430,58,787,619,554,1.42,3,6,67,15,5114,19624,0.28,202,13,102,31,19,62,4
2011,6,두산,4.26,133,61,70,34,46,0.466,1188 2/3,1231,96,476,75,855,619,563,1.44,4,7,51,12,5170,20081,0.276,198,30,110,45,19,70,6
2011,7,넥센,4.36,133,51,80,30,66,0.389,1171 1/3,1167,81,601,76,830,622,568,1.51,0,10,44,13,5195,20610,0.268,194,20,115,46,16,73,1
2011,8,한화,5.11,133,59,72,26,36,0.45,1175,1273,128,524,55,938,727,667,1.53,4,6,44,12,5280,20442,0.278,223,18,79,44,10,91,2
2012,1,삼성,3.39,133,80,51,39,71,0.611,1187 2/3,1085,65,384,37,885,473,448,1.24,3,13,67,5,4941,19074,0.247,196,21,82,43,14,46,5
2012,2,롯데,3.48,133,65,62,39,63,0.512,1190 1/3,1145,74,469,53,825,518,460,1.36,3,9,57,15,5070,19536,0.259,162,7,96,30,20,65,1
2012,3,두산,3.58,133,68,62,38,47,0.523,1193 1/3,1053,66,491,57,802,519,475,1.29,9,12,80,14,5012,19215,0.243,198,23,99,34,17,57,4
2012,4,SK,3.82,133,71,59,40,69,0.546,1181 1/3,1114,90,457,70,814,528,502,1.33,0,10,54,15,5007,19078,0.256,201,19,92,32,26,35,7
2012,5,넥센,3.83,133,61,69,36,34,0.469,1187 1/3,1131,80,535,74,853,551,505,1.4,3,6,64,11,5116,19743,0.259,202,18,104,43,9,62,0
2012,6,KIA,3.9,133,62,65,27,33,0.488,1183 2/3,1161,69,452,68,822,564,513,1.36,11,15,74,18,5101,19344,0.262,229,23,112,38,13,56,6
2012,7,LG,4.02,133,57,72,35,64,0.442,1202,1235,65,422,71,735,580,537,1.38,1,11,48,10,5188,19186,0.272,203,35,116,41,23,57,6
2012,8,한화,4.55,133,53,77,29,54,0.408,1172 1/3,1148,106,488,68,936,647,593,1.4,3,6,60,12,5092,19601,0.263,186,14,121,47,18,82,3
2013,1,LG,3.72,128,74,54,42,86,0.578,1134 2/3,1131,74,406,87,822,510,469,1.35,4,9,55,11,4848,18714,0.266,183,20,59,38,27,46,2
2013,2,롯데,3.93,128,66,58,38,64,0.532,1149 1/3,1148,84,489,62,820,553,502,1.42,1,11,68,21,4986,19418,0.267,180,13,94,36,15,45,0
2013,3,NC,3.96,128,52,72,26,31,0.419,1144 1/3,1077,96,458,94,857,551,503,1.34,5,5,74,21,4919,19087,0.254,176,15,84,50,13,60,6
2013,4,삼성,3.98,128,75,51,31,49,0.595,1146 2/3,1119,98,411,60,955,545,507,1.33,2,5,70,7,4896,19250,0.259,194,21,70,29,12,44,4
2013,5,넥센,4.12,128,72,54,50,70,0.571,1146 1/3,1160,75,503,84,860,576,525,1.45,0,7,53,12,4996,19638,0.27,202,21,71,37,8,52,3
2013,6,SK,4.16,128,62,63,31,38,0.496,1139,1091,101,505,70,878,571,527,1.4,4,8,65,17,4932,19108,0.257,217,12,75,42,15,66,5
2013,7,두산,4.57,128,71,54,30,42,0.568,1150 1/3,1183,84,514,76,848,625,584,1.48,1,8,44,17,5043,19707,0.272,207,30,67,39,10,55,6
2013,8,KIA,5.12,128,51,74,32,50,0.408,1142 1/3,1307,88,532,76,923,711,650,1.61,2,3,48,12,5200,20309,0.293,259,28,79,48,12,73,6
2013,9,한화,5.31,128,42,85,22,34,0.331,1129,1195,98,532,95,822,711,666,1.53,2,2,34,8,5073,19471,0.276,227,32,78,43,17,89,8
2014,1,NC,4.29,128,70,57,31,59,0.551,1135 2/3,1174,117,481,73,848,608,541,1.46,3,4,59,19,5003,19320,0.271,223,12,78,38,8,50,5
2014,2,삼성,4.52,128,78,47,35,65,0.624,1144,1217,120,395,61,996,621,575,1.41,3,6,63,18,4990,19628,0.275,257,24,66,40,11,51,3
2014,3,LG,4.58,128,62,64,35,65,0.492,1142 2/3,1211,104,419,95,810,643,581,1.43,2,9,47,21,5028,19440,0.275,195,27,72,44,25,51,1
2014,4,롯데,5.19,128,58,69,28,64,0.457,1133 1/3,1310,127,471,52,781,719,654,1.57,0,4,46,14,5092,19761,0.295,250,26,82,42,13,54,1
2014,5,넥센,5.25,128,78,48,35,55,0.619,1131 2/3,1299,142,516,61,901,716,660,1.6,0,3,43,12,5107,20728,0.293,231,18,57,36,2,55,4
2014,6,두산,5.43,128,59,68,19,61,0.465,1123 2/3,1311,121,450,58,840,733,678,1.57,4,2,42,14,5066,19670,0.295,243,29,63,55,4,56,4
2014,7,SK,5.51,128,61,65,26,44,0.484,1129 1/3,1271,153,522,68,837,760,692,1.59,2,3,41,15,5112,20141,0.287,239,21,60,36,19,67,1
